headline,sector,volatility,initial_change,duration_weeks
CEO caught laundering money through offshore shell companies in the Cayman Islands,financials,1.25,-0.18,13
Whistleblower exposes years of fraudulent earnings restatements at major bank,financials,1.22,-0.15,17
Board of directors ousted in aggressive shareholder proxy vote,financials,1.18,-0.1,4
Senior executive arrested for insider trading ahead of merger announcement,financials,1.2,-0.14,9
CFO resigns amid SEC investigation into accounting irregularities,financials,1.2,-0.12,6
Audit reveals billions in hidden off-balance-sheet liabilities,financials,1.22,-0.16,13
Record quarterly net interest income reported across all lending segments,financials,0.9,0.09,2
Earnings per share beat consensus analyst estimates by wide margin,financials,0.91,0.08,1
Major hedge fund discloses large short position via 13F filing,financials,1.15,-0.08,4
Activist investor demands immediate CEO and board overhaul at annual meeting,financials,1.18,-0.07,6
Central bank raises benchmark interest rates by 75 basis points,financials,1.14,-0.1,9
Fed rate cut sparks broad rally across rate-sensitive growth equities,financials,0.9,0.09,3
Bank stress test results reveal Tier 1 capital shortfall under adverse scenario,financials,1.2,-0.12,4
Landmark all-cash merger agreement valued at 20 billion announced,financials,0.85,0.11,2
Oversubscribed IPO prices above range raising record capital for expansion,financials,0.88,0.08,1
Short seller publishes damning report alleging systematic accounting fraud,financials,1.22,-0.14,9
Annual net profit surges 35 percent year over year on strong fee income,financials,0.9,0.1,1
Operating margins expand to highest level in company history on cost discipline,financials,0.91,0.08,1
Profit warning issued citing unexpected credit loss provisions and cost pressures,financials,1.14,-0.1,3
Revenue falls short of consensus estimates for third consecutive quarter,financials,1.13,-0.09,2
Warren Buffett discloses surprise 10 billion stake in struggling regional bank,financials,0.82,0.14,2
Jamie Dimon tells analysts he plans to retire within 18 months shocking investors,financials,1.16,-0.11,4
Elon Musk posts cryptic tweet hinting at hostile takeover bid for major insurer,financials,0.78,0.09,3
Bill Ackman launches public campaign demanding breakup of conglomerate on X,financials,1.2,-0.08,5
Ken Griffin donates record 1 billion to market-structure reform think tank,financials,0.92,0.04,1
Revolutionary solid-state battery technology doubles energy density for EVs,technology,0.82,0.14,4
Breakthrough large language model outperforms all major industry benchmarks,technology,0.84,0.13,2
New 3nm chip architecture reduces power consumption by 40 percent,technology,0.86,0.11,3
Quantum computing error correction milestone achieved eighteen months ahead of roadmap,technology,0.82,0.14,4
